Name,Timing,Result
klee_add_size_checked_test,0.740112,passed
klee_add_size_saturating_test,0.81104,passed
klee_mul_size_checked_test,0.85762,passed
klee_mul_size_saturating_test,1.45043,passed
klee_is_power_of_two_test,0.718919,passed
klee_round_up_to_power_of_two_test,0.794902,passed
klee_ptr_eq_test,0.727793,passed
klee_array_eq_test,34.9782,passed
klee_array_eq_c_str_test,37.0001,passed
klee_array_eq_c_str_ignore_case_test,23.5554,passed
klee_array_eq_ignore_case_test,33.5265,passed
klee_array_list_back_test,90.595,passed
klee_array_list_capacity_test,13.6194,passed
klee_array_list_clean_up_test,13.8268,passed
klee_array_list_clear_test,13.9054,passed
klee_array_list_comparator_string_test,121.267,passed
klee_array_list_copy_test,155.075,passed
klee_array_list_ensure_capacity_test,122.926,passed
klee_array_list_erase_test,15.6218,passed
klee_array_list_front_test,89.5841,passed
klee_array_list_get_at_test,89.8133,passed
klee_array_list_get_at_ptr_test,13.3802,passed
klee_array_list_init_dynamic_test,61.9182,passed
klee_array_list_init_static_test,60.6756,passed
klee_array_list_length_test,13.7348,passed
klee_array_list_pop_back_test,14.1835,passed
klee_array_list_pop_front_test,14.3351,passed
klee_array_list_pop_front_n_test,14.3116,passed
klee_array_list_push_back_test,70.6617,passed
klee_array_list_set_at_test,164.274,passed
klee_array_list_shrink_to_fit_test,41.3239,passed
klee_array_list_sort_test,14.3401,passed
klee_array_list_swap_test,14.5882,passed
klee_array_list_swap_contents_test,51.2408,passed
klee_byte_buf_advance_test,57.667,passed
klee_byte_buf_append_test,17.3812,passed
klee_byte_buf_append_dynamic_test,619.066,passed
klee_byte_buf_append_with_lookup_test,18.1234,passed
klee_byte_buf_clean_up_test,14.2196,passed
klee_byte_buf_clean_up_secure_test,14.791,passed
klee_byte_buf_eq_test,94.8353,passed
klee_byte_buf_eq_c_str_test,77.5578,passed
klee_byte_buf_eq_c_str_ignore_case_test,99.0366,passed
klee_byte_buf_from_array_test,14.0972,passed
klee_byte_buf_from_c_str_test,14.4313,passed
klee_byte_buf_from_empty_array_test,14.2331,passed
klee_byte_buf_init_test,52.6027,passed
klee_byte_buf_init_copy_test,18.8481,passed
klee_byte_buf_init_copy_from_cursor_test,57.5823,passed
klee_byte_buf_reserve_test,190.261,passed
klee_byte_buf_reserve_relative_test,204.61,passed
klee_byte_buf_reset_test,15.0831,passed
klee_byte_buf_secure_zero_test,15.1441,passed
klee_byte_buf_write_test,23.641,passed
klee_byte_buf_write_be16_test,14.4983,passed
klee_byte_buf_write_be32_test,14.457,passed
klee_byte_buf_write_be64_test,14.4134,passed
klee_byte_buf_write_from_whole_buffer_test,117.722,passed
klee_byte_buf_write_from_whole_cursor_test,24.4731,passed
klee_byte_buf_write_from_whole_string_test,200.086,passed
klee_byte_buf_write_u8_test,14.7218,passed
klee_byte_cursor_advance_test,0.854539,passed
klee_byte_cursor_compare_lexical_test,3.32188,passed
klee_byte_cursor_compare_lookup_test,4.47299,passed
klee_byte_cursor_eq_test,1.67545,passed
klee_byte_cursor_eq_byte_buf_test,36.1555,passed
klee_byte_cursor_eq_byte_buf_ignore_case_test,33.0231,passed
klee_byte_cursor_eq_c_str_test,35.235,passed
klee_byte_cursor_eq_c_str_ignore_case_test,40.1285,passed
klee_byte_cursor_eq_ignore_case_test,1.17231,passed
klee_byte_cursor_from_array_test,14.0767,passed
klee_byte_cursor_from_buf_test,14.1056,passed
klee_byte_cursor_from_c_str_test,14.0488,passed
klee_byte_cursor_from_string_test,14.6963,passed
klee_byte_cursor_left_trim_pred_test,1.04474,passed
klee_byte_cursor_right_trim_pred_test,1.1822,passed
klee_byte_cursor_satisfies_pred_test,0.943669,passed
klee_byte_cursor_trim_pred_test,1.34742,passed
klee_hash_ptr_test,0.699002,passed
klee_hash_string_test,13.4401,passed
klee_hash_array_ignore_case_test,14.9551,passed
klee_hash_byte_cursor_ptr_test,0.88824,passed
klee_hash_byte_cursor_ptr_ignore_case_test,0.901374,passed
klee_hash_c_string_test,2.49406,passed
klee_hash_callback_string_eq_test,72.6969,passed
klee_hash_callback_c_str_eq_test,104.497,passed
klee_hash_callback_string_destroy_test,14.7297,passed
klee_hash_iter_begin_test,14.7999,passed
klee_hash_iter_begin_done_test,15.4974,passed
klee_hash_iter_next_test,32.0453,passed
klee_hash_iter_done_test,15.5552,passed
klee_hash_table_eq_test,1307.33,passed
klee_hash_table_get_entry_count_test,14.9941,passed
klee_hash_table_move_test,14.763,passed
klee_hash_table_swap_test,33.3346,passed
klee_hash_table_clean_up_test,58.2815,passed
klee_hash_table_clear_test,69.8598,passed
klee_hash_table_find_test,35.3529,passed
klee_hash_table_init_bounded_test,0.810937,passed
klee_hash_table_init_unbounded_test,0.753008,passed
klee_linked_list_back_test,0.888105,passed
klee_linked_list_begin_test,0.69861,passed
klee_linked_list_end_test,0.713081,passed
klee_linked_list_front_test,0.705006,passed
klee_linked_list_init_test,0.624392,passed
klee_linked_list_remove_test,0.628084,passed
klee_linked_list_pop_back_test,0.710971,passed
klee_linked_list_pop_front_test,0.713419,passed
klee_linked_list_prev_test,0.62604,passed
klee_linked_list_next_test,0.629484,passed
klee_linked_list_node_reset_test,0.679178,passed
klee_linked_list_push_back_test,0.705207,passed
klee_linked_list_push_front_test,0.712323,passed
klee_linked_list_swap_contents_test,0.842707,passed
klee_linked_list_insert_after_test,0.626635,passed
klee_linked_list_insert_before_test,0.628908,passed
klee_linked_list_rbegin_test,0.718538,passed
klee_linked_list_rend_test,0.698063,passed
klee_string_bytes_test,23.591,passed
klee_string_compare_test,120.523,passed
klee_string_eq_test,47.3522,passed
klee_string_eq_byte_buf_test,105.376,passed
klee_string_eq_byte_buf_ignore_case_test,124.731,passed
klee_string_eq_byte_cursor_test,21.7544,passed
klee_string_eq_byte_cursor_ignore_case_test,27.6243,passed
klee_string_eq_c_str_test,152.627,passed
klee_string_eq_c_str_ignore_case_test,441.691,passed
klee_string_eq_ignore_case_test,129.772,passed
klee_string_new_from_array_test,368.975,passed
klee_string_new_from_c_str_test,15.6225,passed
klee_string_new_from_string_test,482.315,passed
klee_string_destroy_test,17.6429,passed
klee_string_destroy_secure_test,16.0721,passed
klee_priority_queue_size_test,50.7352,passed
klee_priority_queue_capacity_test,50.6205,passed
klee_priority_queue_top_test,51.3374,passed
klee_priority_queue_init_static_test,17.7772,passed
klee_priority_queue_init_dynamic_test,17.6777,passed
klee_priority_queue_clean_up_test,50.6779,passed
klee_ring_buffer_clean_up_test,14.2109,passed
klee_ring_buffer_init_test,14.9471,passed
klee_priority_queue_s_swap_test,50.5302,passed
klee_priority_queue_s_sift_up_test,50.9896,passed
klee_priority_queue_s_sift_down_test,50.9132,passed
klee_priority_queue_s_sift_either_test,50.7156,passed
klee_priority_queue_s_remove_node_test,51.0775,passed
klee_priority_queue_remove_test,50.6168,passed
klee_priority_queue_pop_test,50.5945,passed
klee_priority_queue_push_test,50.8311,passed
klee_priority_queue_push_ref_test,50.3217,passed
klee_ring_buffer_release_test,60.2452,passed
klee_ring_buffer_acquire_test,65.3769,passed
klee_ring_buffer_buf_belongs_to_pool_test,60.6033,passed
klee_ring_buffer_acquire_up_to_test,73.4659,passed
